symbol,direction,entry_price,exit_price,pnl_usdt,news_id,would_take_again,notes
BNBUSDT,long,725.252445,620.94937,-223.31251369637982,mock-news-262,,
SOLUSDT,long,227.49369,211.65412,-105.38020763591987,mock-news-226,,
SOLUSDT,long,245.20254,228.77555500000003,-104.68443029939982,mock-news-222,,
ETHUSDT,long,3828.33321,3605.9961000000003,-89.8990258478758,mock-news-278,,
XRPUSDT,short,2.42588645,2.53876875,-71.64327268929593,mock-news-301,,
BNBUSDT,long,561.630675,535.0623350000001,-71.5685955905998,mock-news-2,,
BNBUSDT,long,643.3215,614.0228350000001,-70.6297984795798,mock-news-218,,
BTCUSDT,long,61748.859,58990.19015000001,-67.3671472718397,mock-news-4,,
ETHUSDT,long,3676.37727,3522.1380500000005,-65.51846709537578,mock-news-250,,
SOLUSDT,long,170.68529999999998,163.688115,-63.67924388837976,mock-news-122,,
